relic_id,relic_name,stat,stat_key,max_level,value_per_level,total_value_at_max,notes
1,화염의 유물,화염데미지증가,fire_dmg,50,0.01,0.5,속성 4종
2,물의 유물,물데미지증가,water_dmg,50,0.01,0.5,
3,바람의 유물,바람데미지증가,wind_dmg,50,0.01,0.5,
4,번개의 유물,번개데미지증가,lightning_dmg,50,0.01,0.5,
5,전사의 유물,기본공격력,base_atk,50,50,2500,스탯 8종
6,수호의 유물,기본체력,base_hp,50,500,25000,
7,바람의 신발,회피율,evasion,50,0.002,0.1,
8,매의 눈 유물,명중률,accuracy,50,0.002,0.1,
9,행운의 유물,치명타확률,crit_rate,50,0.002,0.1,
10,파괴의 유물,치명타데미지,crit_dmg,50,0.005,0.25,
11,마나의 유물,마나회복량,mp_regen,50,1.0,50.0,
12,기술의 유물,스킬데미지증가,skill_dmg,50,0.005,0.25,
