skill_id,skill_name,element,max_level,coef_per_level,element_dmg_per_level,skill_dmg_per_level,total_coef_at_max,total_element_dmg_at_max,total_skill_dmg_at_max,notes
SK001,질풍 연격,3,100,0.005,0.002,0.002,1.5,0.2,0.2,바람속성 데미지 증가
SK002,파이어볼,1,100,0.005,0.002,0.002,1.7,0.2,0.2,화염속성 데미지 증가
SK003,빙결 찌르기,2,100,0.005,0.002,0.002,1.5,0.2,0.2,물속성 데미지 증가
SK004,뇌격 강타,4,100,0.005,0.002,0.002,1.6,0.2,0.2,번개속성 데미지 증가
SK005,번개 사슬,4,100,0.005,0.002,0.002,1.7,0.2,0.2,
SK006,바위 균열,3,100,0.005,0.002,0.002,1.8,0.2,0.2,
SK007,화염 폭풍,1,100,0.005,0.002,0.002,1.5,0.2,0.2,
SK008,냉기 창,2,100,0.005,0.002,0.002,1.7,0.2,0.2,
SK009,산성 안개,3,100,0.005,0.002,0.002,1.5,0.2,0.2,
SK010,성광 강타,1,100,0.005,0.002,0.002,1.9,0.2,0.2,
SK011,폭풍의 눈,3,100,0.005,0.002,0.002,1.6,0.2,0.2,
SK012,냉기 난무,2,100,0.005,0.002,0.002,1.5,0.2,0.2,
SK013,용암 분출,1,100,0.005,0.002,0.002,1.7,0.2,0.2,
SK014,낙뢰,4,100,0.005,0.002,0.002,2.0,0.2,0.2,
SK015,폭풍 연격,3,100,0.005,0.002,0.002,1.6,0.2,0.2,
SK016,빙결 폭풍,2,100,0.005,0.002,0.002,1.6,0.2,0.2,
SK017,심판의 화염,1,100,0.005,0.002,0.002,2.0,0.2,0.2,
SK018,천지개벽,3,100,0.005,0.002,0.002,1.7,0.2,0.2,
SK019,멸절의 뇌광,4,100,0.005,0.002,0.002,1.7,0.2,0.2,
SK020,파멸의 불꽃,1,100,0.005,0.002,0.002,1.8,0.2,0.2,
