skill_id,skill_name,skill_type,element,tier,skill_coef,skill_dmg_bonus,damage,hit_count,hit_term,active_duration,cooldown,total_damage,dps,target,cost_mp,notes
SK001,질풍 연격,2,3,1,1.0,1.0,280,5,0.3,0,8,1400,175.0,1,60,
SK002,파이어볼,1,1,1,1.2,1.0,950,1,0,0,10,1140,114.0,1,80,
SK003,빙결 찌르기,2,2,1,1.0,1.0,200,8,0.3,0,10,1600,160.0,1,70,
SK004,뇌격 강타,1,4,1,1.1,1.0,1100,1,0,0,12,1210,100.8,1,90,
SK005,번개 사슬,2,4,2,1.2,1.0,420,4,0.3,0,9,2016,224.0,2,100,
SK006,바위 균열,1,3,2,1.3,1.0,2200,1,0,0,14,2860,204.3,2,110,
SK007,화염 폭풍,3,1,2,1.0,1.1,180,0,0.3,3.0,12,1980,165.0,2,95,
SK008,냉기 창,1,2,2,1.2,1.0,1800,1,0,0,11,2160,196.4,1,85,
SK009,산성 안개,3,3,3,1.0,1.0,150,0,0.3,4.5,16,2250,140.6,2,120,
SK010,성광 강타,1,1,3,1.4,1.1,3800,1,0,0,18,5852,325.1,1,130,이상치 의심
SK011,폭풍의 눈,3,3,3,1.1,1.0,220,0,0.3,3.6,14,2904,207.4,2,125,
SK012,냉기 난무,2,2,3,1.0,1.0,480,6,0.3,0,13,2880,221.5,1,115,
SK013,용암 분출,3,1,4,1.2,1.1,300,0,0.3,5.4,20,7128,356.4,2,150,
SK014,낙뢰,1,4,4,1.5,1.0,6500,1,0,0,22,9750,443.2,2,160,이상치 의심
SK015,폭풍 연격,2,3,4,1.1,1.0,380,20,0.3,0,20,8360,418.0,1,170,이상치 의심
SK016,빙결 폭풍,3,2,4,1.1,1.0,260,0,0.3,4.8,18,4576,254.2,2,145,
SK017,심판의 화염,1,1,5,1.5,1.1,12000,1,0,0,28,19800,707.1,1,200,
SK018,천지개벽,3,3,5,1.2,1.1,500,0,0.3,7.2,25,15840,633.6,2,220,
SK019,멸절의 뇌광,2,4,5,1.2,1.0,600,18,0.3,0,26,12960,498.5,2,210,
SK020,파멸의 불꽃,3,1,5,1.3,1.1,450,0,0.3,8.4,30,18018,600.6,2,230,
